iyear,country_txt,city,latitude,longitude,summary,attacktype1_txt,targtype1_txt,gname,nkill,nwound
1970,Germany,Munich,48.139126,11.580186,,Facility/Infrastructure Attack,Private Citizens & Property,Popular Front for the Liberation of Palestine (PFLP),7,9
1970,Pakistan,Karachi,24.891115,67.143311,,Assassination,Government (Diplomatic),Unknown,4,20
1972,United Kingdom,Belfast,54.607712,-5.95621,,Bombing/Explosion,Military,Irish Republican Army (IRA),7,17
1972,United Kingdom,Aldershot,51.248429,-0.755979,,Bombing/Explosion,Military,Irish Republican Army (IRA),7,19
1972,Austria,Vienna,48.208174,16.373819,,Hijacking,Airports & Aircraft,Black September,4,5
1972,Israel,Lod,32.004361,34.888229,,Bombing/Explosion,Airports & Aircraft,Japanese Red Army (JRA),26,72
1973,United States,New Orleans,29.954649,-90.074975,"1/7/1973:  Mark Essex, a Black Revolutionary, broke into the Downtown Howard Johnson Hotel in New Orleans, Louisiana in the United States.  He proceeded to shoot and kill Robert and Elizabeth Steagall, a White couple staying in the hotel.  Essex then doused a telephone book with lighter fluid and set the Steagalls' room on fire.  Noticing the commotion, Essex was approached by Frank Schneider and Sherwood Collins, the assistant manager and general manager of the hotel respectively.  Essex shot and killed both managers in two separate incidents.  Essex then lit more hotel rooms on fire.  At this point, Essex began shooting at the policemen and firemen that approached the hotel.  He shot and killed Deputy Super Intendent Louis Sirgo, Patrolman Pail Persigo and Patrolman Philip J. Coleman Sr.  Twenty  others were wounded as well.  Finally, the police were able to force Essex to the roof of the building.  The incident did not end until Essex was shot and killed by sharpshooters positioned in a military helicopter hovering above the hotel.",Armed Assault,Police,Republic of New Afrika,8,20
1973,Greece,Athens,37.99749,23.762728,,Bombing/Explosion,Airports & Aircraft,Black September,5,55
1973,Italy,Rome,41.890961,12.490069,,Hostage Taking (Barricade Incident),Airports & Aircraft,Black September,30,50
1974,United Kingdom,Batley,53.717059,-1.635032,,Bombing/Explosion,Military,Irish Republican Army (IRA),12,14
1974,Israel,Maalot,33.014797,35.275805,,Bombing/Explosion,Educational Institution,Democratic Front for the Liberation of Palestine (DFLP),25,70
1974,Italy,Brescia,45.539838,10.222956,,Bombing/Explosion,Government (General),Black Order,8,102
1974,Italy,Bologna,44.49419,11.346518,,Bombing/Explosion,Transportation,Black Order,12,48
1974,Spain,Madrid,40.465595,-3.696263,,Bombing/Explosion,Business,Basque Fatherland and Freedom (ETA),12,70
1974,United Kingdom,Guildford,51.236419,-0.570291,,Bombing/Explosion,Business,Irish Republican Army (IRA),5,25
1974,Israel,Beit Shean,32.496086,35.498352,,Unknown,Private Citizens & Property,Democratic Front for the Liberation of Palestine (DFLP),7,5
1974,United Kingdom,Birmingham,52.482961,-1.893592,,Bombing/Explosion,Business,Irish Republican Army (IRA),11,81
1974,United Kingdom,Birmingham,52.482961,-1.893592,,Bombing/Explosion,Business,Irish Republican Army (IRA),10,81
1975,United States,New York City,40.697132,-73.931351,,Bombing/Explosion,Business,Fuerzas Armadas de Liberacion Nacional (FALN),4,53
1975,Kenya,Nairobi,-1.28518,36.821107,,Bombing/Explosion,Transportation,Maskini Liberation Front,27,100
1975,Israel,Jerusalem,31.771599,35.2034,,Bombing/Explosion,Private Citizens & Property,Democratic Front for the Liberation of Palestine (DFLP),6,62
1975,Mexico,Oaxaca,17.054348,-96.712954,,Armed Assault,Government (General),23rd of September Communist League,9,4
1975,United States,New York City,40.697132,-73.931351,,Bombing/Explosion,Airports & Aircraft,Croatian Nationalists,11,74
1976,Philippines,Davao City,7.083241,125.600998,,Hijacking,Airports & Aircraft,Muslim Rebels,13,25
1976,Philippines,Unknown,,,,Armed Assault,Transportation,Moro National Liberation Front (MNLF),16,14
1976,Philippines,Unknown,,,,Bombing/Explosion,Educational Institution,Unknown,7,34
1976,Argentina,Buenos Aires,-34.61768,-58.444435,,Bombing/Explosion,Police,Montoneros (Argentina),25,30
1976,Turkey,Istanbul,41.106178,28.689863,,Bombing/Explosion,Airports & Aircraft,Popular Front for the Liberation of Palestine (PFLP),4,17
1976,Syria,Aleppo,36.201721,37.14352,,Hostage Taking (Barricade Incident),Business,Abu Nidal Organization (ANO),5,34
1976,Jordan,Amman,31.950001,35.933331,,Hostage Taking (Barricade Incident),Business,Abu Nidal Organization (ANO),9,5
1976,Iraq,Baghdad,33.303566,44.371773,,Bombing/Explosion,Airports & Aircraft,Unknown,10,285
1977,Turkey,Istanbul,41.106178,28.689863,,Bombing/Explosion,Airports & Aircraft,28 May Armenian Organization,5,42
